,id,sentiment_predict
0,1046764676707753987,2
1,1047329264943751169,0
2,1045443874947313665,1
3,1040484298711814144,2
4,1045411876887306240,1
5,1046755008824455168,1
6,1049323059369447425,0
7,1049032860626247682,2
8,1037681285689475072,2
9,1049319300551593989,0
10,1048408675709333505,0
11,1048397104014667777,0
12,1049137986766626817,0
13,1045365438677471232,0
14,1046717854110949377,1
15,1042428359647604737,2
16,1041768009285742592,2
17,1049103110117965824,1
18,1031296850257764352,1
19,1039193086633668608,1
20,1044677924224348160,2
21,1049289289966804997,1
22,1046377621460664320,2
23,1045032762116194304,2
24,1038936349649367041,2
25,1046946647861858305,0
26,1049151475505647616,1
27,1046753348043636738,0
28,1047471942725509122,1
29,1036797021317939200,1
30,1049298120889253888,1
31,1046965907099144194,1
32,1046944869921505280,0
33,1050745666396463105,1
34,1046709487170662401,1
35,1039940288628908034,2
36,1049641187819311104,2
37,1053306766447071234,2
38,1044548977990017024,2
39,1039912264541696000,2
40,1049167861778993152,0
41,1047455379037343744,1
42,1050164595346821122,2
43,1046747772832108545,1
44,1045410136779558914,1
45,1032957989832073218,2
46,1037162148332335104,2
47,1042864072503513089,1
48,1045419243448209408,1
49,1050580782853644288,1
50,1046945279331766272,1
51,1044657788897509377,2
52,1049134199465267200,0
53,1039940455264337920,2
54,1050608005929099270,2
55,1046822054094233602,2
56,1049132041374195713,1
57,1049189931720105984,0
58,1046941466239610885,0
59,1049298983343067136,0
60,1046182837643227136,2
61,1043100537690963968,2
62,1037310050216206336,2
63,1045368738088812544,1
64,1036696595868397568,2
65,1047189470708023296,2
66,1040642582865473538,2
67,1044297918306557952,2
68,1034848411957297152,2
69,1044264709392863233,2
70,1046925918478856192,0
71,1048396212884463616,1
72,1033099499743395840,2
73,1047151813487726592,2
74,1045046863030878208,2
75,1047456527727185920,2
76,1037773682217635840,2
77,1049315805089943553,1
78,1033770686697951239,2
79,1045118838268981250,2
80,1045513557520117760,1
81,1050108230330974208,2
82,1049965260994531334,2
83,1046923281130037248,0
84,1047539262298738689,1
85,1035692901932691456,2
86,1049320686827782144,0
87,1047321856624218112,1
88,1046915723023519746,0
89,1045345439938215936,1
90,1049264045491150848,1
91,1049136388258586625,1
92,1045419838028623872,0
93,1038094532049620993,2
94,1046722113753747458,1
95,1046710688519991301,0
96,1046770017344344066,1
97,1042394147808788480,2
98,1039423409174839296,2
99,1049623509603889152,2
100,1049260076513615881,1
101,1033072752561975297,2
102,1050768714306588672,2
103,1045366115713445888,0
104,1049133956552151040,1
105,1047503732949377027,1
